concept_1,concept_2,colexification_count
A LITTLE,FEW,1
A LITTLE,SMALL,1
A LITTLE,SOME,2
A LITTLE,WHAT,1
ABOVE,ASK (INQUIRE),1
ABOVE,AT,1
ABOVE,BELOW OR UNDER,1
ABOVE,BLACK,4
ABOVE,CART,1
ABOVE,CHIEFTAIN,1
ABOVE,CIRCLE,1
ABOVE,CLOUD,2
ABOVE,COUNTRY,1
ABOVE,DEER,1
ABOVE,DIG,2
ABOVE,FISH,1
ABOVE,FLESH,1
ABOVE,HEAVEN,2
ABOVE,HIGH,8
ABOVE,HILL,1
ABOVE,IN FRONT OF,1
ABOVE,INSIDE,1
ABOVE,LAUGH,1
ABOVE,LINE,1
ABOVE,MEAT,1
ABOVE,MONTH,1
ABOVE,MOON,1
ABOVE,NORTH,1
ABOVE,PEAK,12
ABOVE,POINT (WITH FINGER),1
ABOVE,RIDE,1
ABOVE,ROLL,1
ABOVE,ROOF,1
ABOVE,SCRAPE,1
ABOVE,SHALLOW,1
ABOVE,SKY,30
ABOVE,SPIN,1
ABOVE,TALL,1
ABOVE,THROUGH,2
ABOVE,TOP,5
ABOVE,TWIST,1
ABOVE,UP,17
ABOVE,UP OR ABOVE,5
ABOVE,YESTERDAY,1
ABSTAIN FROM FOOD,ALTAR,1
ABSTAIN FROM FOOD,BE SILENT,1
ABSTAIN FROM FOOD,FAST,2
ABSTAIN FROM FOOD,HOLD,1
ABSTAIN FROM FOOD,KEEP,1
ABSTAIN FROM FOOD,ONLY,1
ABSTAIN FROM FOOD,PUT,1
ABSTAIN FROM FOOD,REGRET,1
ABSTAIN FROM FOOD,ROAST OR FRY,1
ABSTAIN FROM FOOD,RUN,1
ABSTAIN FROM FOOD,SECRET,1
ABSTAIN FROM FOOD,SHUT,3
ABSTAIN FROM FOOD,SPIN,1
ABSTAIN FROM FOOD,STEAL,1
ABSTAIN FROM FOOD,TIE,1
ABSTAIN FROM FOOD,WHIRLPOOL,1
ABUSE,ACCUSTOM,1
ABUSE,ANSWER,1
ABUSE,ARRIVE,3
ABUSE,ASK (REQUEST),1
ABUSE,BAIT,1
ABUSE,BASKET,1
ABUSE,BATHE,1
ABUSE,BECOME EXTINGUISHED,1
ABUSE,BECOME SOUR,1
ABUSE,BEND (SOMETHING),1
ABUSE,BEWITCH,1
ABUSE,BITE,5
ABUSE,BOAST,1
ABUSE,BREAK (CLEAVE),1
ABUSE,BURNING,1
ABUSE,BURY,2
ABUSE,BUY,1
ABUSE,CARRY,3
ABUSE,CARRY ON HEAD,1
ABUSE,CARRY PERSON ON BACK,2
ABUSE,CEASE,2
ABUSE,CHANGE,2
ABUSE,CHECK,1
ABUSE,CHIEFTAIN,1
ABUSE,CHOOSE,1
ABUSE,CLOSE (EYES),1
ABUSE,COME BACK,2
ABUSE,COOK (SOMETHING),2
ABUSE,COUGH,1
ABUSE,COVER,1
ABUSE,CRAWL,2
ABUSE,CRUSH,1
ABUSE,CULTIVATE,1
ABUSE,CUT,2
ABUSE,DANCE,1
ABUSE,DENY,1
ABUSE,DESTROY,2
ABUSE,DIE,2
ABUSE,DIG,2
ABUSE,DIMINISH,2
ABUSE,DIVIDE,2
ABUSE,DIVORCE,1
ABUSE,DO,2
ABUSE,DONATE,2
ABUSE,DRAG,1
ABUSE,DRAW (WATER),2
ABUSE,DRAW MILK,2
ABUSE,DREAM,1
ABUSE,DRINK,1
ABUSE,DRY UP,3
ABUSE,"DWELL (LIVE, RESIDE)",1
ABUSE,EAR,1
ABUSE,EAT,1
ABUSE,EMBRACE,1
ABUSE,ENTER,1
ABUSE,EXTINGUISH,1
ABUSE,FAN (OBJECT),2
ABUSE,FART,1
ABUSE,FASTEN,1
ABUSE,FAT (OBESE),2
ABUSE,FEAR (BE AFRAID),1
ABUSE,FIGHT,1
ABUSE,FILL,1
ABUSE,FOLLOW,1
ABUSE,FOREST,1
ABUSE,FORGE,2
ABUSE,FULL,1
ABUSE,GATHER,2
ABUSE,GET,2
ABUSE,GET LOST,1
ABUSE,GET WET,1
ABUSE,GIVE,1
ABUSE,GO UP (ASCEND),1
ABUSE,GRIND,1
ABUSE,GROAN,1
ABUSE,HEAD,1
ABUSE,HEAR,2
ABUSE,HIDE (CONCEAL),1
ABUSE,HOLD,1
ABUSE,HUNT,1
ABUSE,IMITATE,2
ABUSE,INCREASE,1
ABUSE,ITCH,1
ABUSE,JOIN,1
ABUSE,JUMP,1
ABUSE,KILL,1
ABUSE,KNEAD,1
ABUSE,KNEEL,2
ABUSE,KNOCK,1
ABUSE,LAME,1
ABUSE,LAUGH,1
ABUSE,LEAVE,2
ABUSE,LEFT,1
ABUSE,LIE (REST),1
ABUSE,LIE DOWN,1
ABUSE,LOBSTER,1
ABUSE,LOOK,1
ABUSE,LOOK FOR,1
ABUSE,MAKE DRY,1
ABUSE,MEET,1
ABUSE,MELT,1
ABUSE,MIX,1
ABUSE,MOVE AWAY,1
ABUSE,OPEN,1
ABUSE,PAY,1
ABUSE,PILE UP,1
ABUSE,PINCH,2
ABUSE,PISS,2
ABUSE,PLAIT OR BRAID OR WEAVE,1
ABUSE,POUND,2
ABUSE,POUR,2
ABUSE,PREPARE,1
ABUSE,PULL,2
ABUSE,PULL UP (RICE SEEDLINGS),1
ABUSE,PUSH,2
ABUSE,PUT ON,2
ABUSE,QUARREL,1
ABUSE,QUIET,1
ABUSE,RAINING OR RAIN,1
ABUSE,REFUSE,1
ABUSE,REMEMBER,1
ABUSE,REPAIR,1
ABUSE,RESEMBLE,2
ABUSE,RIPEN,2
ABUSE,ROAST (SOMETHING),2
ABUSE,ROTTEN,1
ABUSE,RUB,1
ABUSE,SACRIFICE,2
ABUSE,SAY,2
ABUSE,SCATTER (SEEDS),2
ABUSE,SCRAPE,1
ABUSE,SCRATCH,1
ABUSE,SEE,1
ABUSE,SEIZE,2
ABUSE,SELL,1
ABUSE,SEND,2
ABUSE,SEPARATE,1
ABUSE,SET (HEAVENLY BODIES),1
ABUSE,SEW,3
ABUSE,SHARPEN (SOMETHING),2
ABUSE,SHAVE,1
ABUSE,SHIT (DEFECATE),1
ABUSE,SHIVER,2
ABUSE,SHOULDER,1
ABUSE,SHOUT,1
ABUSE,SING,1
ABUSE,SIT,2
ABUSE,SLAUGHTER,1
ABUSE,SLEEP,1
ABUSE,SMELL (PERCEIVE),1
ABUSE,SNEEZE,1
ABUSE,SNORE,1
ABUSE,SPARK,1
ABUSE,SPEAK,2
ABUSE,SPINE,1
ABUSE,SPIT,1
ABUSE,SPLIT,1
ABUSE,SPREAD OUT,2
ABUSE,SQUEEZE,2
ABUSE,STEAL,2
ABUSE,STINKING,1
ABUSE,STIR,1
ABUSE,STRAIN,1
ABUSE,STRETCH,1
ABUSE,STUTTER,1
ABUSE,SUCK,2
ABUSE,SUIT,1
ABUSE,SURPASS,1
ABUSE,SWALLOW,1
ABUSE,SWEAR,1
ABUSE,SWEEP,2
ABUSE,SWELL,1
ABUSE,TASTE (SOMETHING),1
ABUSE,TEACH,1
ABUSE,THINK,1
ABUSE,THREATEN,1
ABUSE,TRAVERSE,2
ABUSE,TRY,2
ABUSE,TUMBLE (FALL DOWN),2
ABUSE,TURN,1
ABUSE,TURN (SOMETHING),1
ABUSE,TWIST,1
ABUSE,VOMIT,1
ABUSE,WALK,2
ABUSE,WANT,2
ABUSE,WASH,2
ABUSE,WE,1
ABUSE,WEAR,1
ABUSE,WEAVE,2
ABUSE,WINNOWING,1
ABUSE,WIPE,1
ACCOMPANY,BLOW (OF WIND),1
ACCOMPANY,COOK (SOMETHING),1
ACCOMPANY,FAT (OBESE),2
ACCOMPANY,FAT (OF MEAT AND FOOD),1
ACCOMPANY,FAT (OILY),1
ACCOMPANY,GO,1
ACCOMPANY,HELP,1
ACCOMPANY,NEAR,1
ACCOMPANY,PUT,1
ACCOMPANY,REST,1
ACCOMPANY,SKIN (OF FRUIT),1
ACCOMPANY,WATER,1
ACCUSE,ADJUDICATE,1
ACCUSE,ADMIT,1
ACCUSE,ANIMAL,1
ACCUSE,ANNOUNCE,2
ACCUSE,ATTACK,1
ACCUSE,BAMBOO,1
ACCUSE,BLAME,65
ACCUSE,CARRY,1
ACCUSE,CHEST,2
ACCUSE,CONDEMN,32
ACCUSE,CONVICT,17
ACCUSE,COUNT,2
ACCUSE,DARK,1
ACCUSE,ENOUGH,1
ACCUSE,EXPLAIN,2
ACCUSE,FIGHT,1
ACCUSE,FORBID,1
ACCUSE,FOWL,1
ACCUSE,GUILTY,1
ACCUSE,HATE,1
ACCUSE,KISS,2
ACCUSE,LONTAR PALM,1
ACCUSE,MAGIC,1
ACCUSE,NAME,1
ACCUSE,POT,1
ACCUSE,PREACH,1
ACCUSE,PREVENT,1
ACCUSE,PRIEST,1
ACCUSE,PUT,1
ACCUSE,REMEMBER,1
ACCUSE,RULE,1
ACCUSE,SAW,1
ACCUSE,SAY,2
ACCUSE,SCOLD,1
ACCUSE,SEE,1
ACCUSE,SEND,1
ACCUSE,SHAME,1
ACCUSE,SHOOT,1
ACCUSE,SPEECH,1
ACCUSE,SUSPECT,3
ACCUSE,TELL,2
ACCUSE,TIE,2
ACCUSE,UNDERSTAND,1
ACCUSTOM,ANSWER,1
ACCUSTOM,ARRIVE,1
ACCUSTOM,ASK (REQUEST),1
ACCUSTOM,BATHE,1
ACCUSTOM,BECOME SOUR,1
ACCUSTOM,BEWITCH,1
ACCUSTOM,BITE,1
ACCUSTOM,BOAST,1
ACCUSTOM,BREAK (CLEAVE),1
ACCUSTOM,BURNING,1
ACCUSTOM,BURY,1
ACCUSTOM,CARRY,1
ACCUSTOM,CARRY PERSON ON BACK,1
ACCUSTOM,CEASE,1
ACCUSTOM,CHANGE,1
ACCUSTOM,CHECK,1
ACCUSTOM,CHOOSE,1
ACCUSTOM,CLOSE (EYES),1
ACCUSTOM,COME BACK,1
ACCUSTOM,COOK (SOMETHING),1
ACCUSTOM,COVER,1
ACCUSTOM,CRAWL,1
ACCUSTOM,CULTIVATE,1
ACCUSTOM,CUT,1
ACCUSTOM,DENY,1
ACCUSTOM,DIE,1
ACCUSTOM,DIG,1
ACCUSTOM,DIMINISH,1
ACCUSTOM,DISAPPEAR,2
ACCUSTOM,DIVIDE,1
ACCUSTOM,DIVORCE,1
ACCUSTOM,DO,1
ACCUSTOM,DONATE,1
ACCUSTOM,DRAG,1
ACCUSTOM,DRAW MILK,1
ACCUSTOM,DREAM,1
ACCUSTOM,DRY UP,1
ACCUSTOM,"DWELL (LIVE, RESIDE)",1
ACCUSTOM,EAT,1
ACCUSTOM,EMBRACE,1
ACCUSTOM,ENTER,1
ACCUSTOM,EXTINGUISH,1
ACCUSTOM,FAN (OBJECT),1
ACCUSTOM,FART,1
ACCUSTOM,FASTEN,1
ACCUSTOM,FAT (OBESE),1
ACCUSTOM,FEAR (BE AFRAID),1
ACCUSTOM,FIGHT,1
ACCUSTOM,FILL,1
ACCUSTOM,FOLLOW,1
ACCUSTOM,GATHER,1
ACCUSTOM,GET,1
ACCUSTOM,GET LOST,1
ACCUSTOM,GET WET,1
ACCUSTOM,GO UP (ASCEND),1
ACCUSTOM,GROAN,1
ACCUSTOM,HEAR,1
ACCUSTOM,HIDE (CONCEAL),1
ACCUSTOM,HOLD,1
ACCUSTOM,HUNT,1
ACCUSTOM,IMITATE,1
ACCUSTOM,INCREASE,1
ACCUSTOM,ITCH,1
ACCUSTOM,JOIN,1
ACCUSTOM,JUMP,1
ACCUSTOM,KILL,1
ACCUSTOM,KNEEL,1
ACCUSTOM,LAME,1
ACCUSTOM,LAUGH,1
ACCUSTOM,LEAVE,1
ACCUSTOM,LEFT,1
ACCUSTOM,LIE DOWN,1
ACCUSTOM,LOBSTER,1
ACCUSTOM,LOOK,1
ACCUSTOM,LOOK FOR,1
ACCUSTOM,MAKE DRY,1
ACCUSTOM,MEET,1
ACCUSTOM,MELT,1
ACCUSTOM,MIX,1
ACCUSTOM,MOVE AWAY,1
ACCUSTOM,OPEN,1
ACCUSTOM,PAY,1
ACCUSTOM,PILE UP,1
ACCUSTOM,PINCH,1
ACCUSTOM,PISS,1
ACCUSTOM,PLAIT OR BRAID OR WEAVE,1
ACCUSTOM,POUR,1
ACCUSTOM,PREPARE,1
ACCUSTOM,PULL,1
ACCUSTOM,PULL UP (RICE SEEDLINGS),1
ACCUSTOM,PUSH,1
ACCUSTOM,PUT ON,1
ACCUSTOM,QUARREL,1
ACCUSTOM,QUIET,1
ACCUSTOM,RAINING OR RAIN,1
ACCUSTOM,REFUSE,1
ACCUSTOM,REMEMBER,1
ACCUSTOM,REPAIR,1
ACCUSTOM,RESEMBLE,1
ACCUSTOM,RIPEN,1
ACCUSTOM,ROAST (SOMETHING),1
ACCUSTOM,ROTTEN,1
ACCUSTOM,RUB,1
ACCUSTOM,SACRIFICE,1
ACCUSTOM,SAY,1
ACCUSTOM,SCATTER (SEEDS),1
ACCUSTOM,SCRAPE,1
ACCUSTOM,SCRATCH,1
ACCUSTOM,SEE,1
ACCUSTOM,SEIZE,1
ACCUSTOM,SEND,1
ACCUSTOM,SET (HEAVENLY BODIES),1
ACCUSTOM,SEW,1
ACCUSTOM,SHARPEN (SOMETHING),1
ACCUSTOM,SHAVE,1
ACCUSTOM,SHIT (DEFECATE),1
ACCUSTOM,SHIVER,1
ACCUSTOM,SHOUT,1
ACCUSTOM,SING,1
ACCUSTOM,SIT,1
ACCUSTOM,SLAUGHTER,1
ACCUSTOM,SLEEP,1
ACCUSTOM,SMELL (PERCEIVE),1
ACCUSTOM,SNEEZE,1
ACCUSTOM,SNORE,1
ACCUSTOM,SPARK,1
ACCUSTOM,SPEAK,1
ACCUSTOM,SPLIT,1
ACCUSTOM,SPREAD OUT,1
ACCUSTOM,SQUEEZE,1
ACCUSTOM,STEAL,1
ACCUSTOM,STINKING,1
ACCUSTOM,STIR,1
ACCUSTOM,STRAIN,1
ACCUSTOM,STRETCH,1
ACCUSTOM,SUCK,1
ACCUSTOM,SUIT,1
ACCUSTOM,SURPASS,1
ACCUSTOM,SWEAR,1
ACCUSTOM,SWEEP,1
ACCUSTOM,SWELL,1
ACCUSTOM,TASTE (SOMETHING),1
ACCUSTOM,TEACH,1
ACCUSTOM,THINK,1
ACCUSTOM,THREATEN,1
ACCUSTOM,TRAVERSE,1
ACCUSTOM,TRY,1
ACCUSTOM,TUMBLE (FALL DOWN),1
ACCUSTOM,TURN,1
ACCUSTOM,TURN (SOMETHING),1
ACCUSTOM,TWIST,1
ACCUSTOM,WALK,1
ACCUSTOM,WANT,1
ACCUSTOM,WASH,1
ACCUSTOM,WEAR,1
ACCUSTOM,WEAVE,1
ACCUSTOM,WINNOWING,1
ACCUSTOM,WIPE,1
ACHE,BECOME SICK,6
ACHE,BITE,1
ACHE,BONE,1
ACHE,COMMEND,1
ACHE,DRAW MILK,1
ACHE,FROST,1
ACHE,GROAN,1
ACHE,HERD (SOMETHING),1
ACHE,I,1
ACHE,KIND (THING),1
ACHE,LICK,1
ACHE,PAIN,4
ACHE,POUR,1
ACHE,SPLIT,1
ACHE,SWAMP,1
ACHE,TEACH,1
ACHE,THUNDER (VERB),1
ACHE,TIME,1
ACHE,WHITHER (WHERE TO),1
ACHIOTE,COTTON,4
ACHIOTE,DEER,1
ACHIOTE,LOUSE,2
ACHIOTE,RIVER,1
ACHIOTE,SEED,1
ACORN,BARK,1
ACORN,BED,1
ACORN,FINGERNAIL,1
ACORN,GLUE,1
ACORN,GRAIN,1
ACORN,ICE,1
ACORN,IRON,1
ACORN,LATCH,1
ACORN,NUT,3
ACORN,OAK,21
ACORN,PINE,1
ACORN,ROOT,1
ACORN,SEED,1
ACORN,WORM,1
ACQUIT,ADJUDICATE,1
ACQUIT,ALLOW OR PERMIT,3
ACQUIT,BEAK,1
ACQUIT,BRAID (VERB) OR WEAVE (BASKET),1
ACQUIT,CEASE,1
ACQUIT,CHEAP,1
ACQUIT,CLEAN,1
ACQUIT,CONVICT,1
ACQUIT,FORGIVE,6
ACQUIT,GUILTY,2
ACQUIT,INNOCENT,1
ACQUIT,JUDGMENT,1
ACQUIT,LET GO OR SET FREE,16
ACQUIT,LIBERATE,5
ACQUIT,LOUSE,1
ACQUIT,PAY,1
ACQUIT,PEEL,1
ACQUIT,POUND,1
ACQUIT,PUT,1
ACQUIT,RESCUE,3
ACQUIT,SURRENDER,1
ACQUIT,UNTIE,3
ACQUIT,WEAVE,1
ACQUIT,WHITE,1
ADAM'S APPLE,DRINK,1
ADAM'S APPLE,LUNG,1
ADAM'S APPLE,NAPE (OF NECK),1
ADAM'S APPLE,STAR,1
ADD,BUILD,1
ADD,CAUSE TO (LET),1
ADD,CONNECT,2
ADD,FILL,1
ADD,GIVE,1
ADD,GO UP (ASCEND),1
ADD,INCREASE,2
ADD,LAY (VERB),1
ADD,SPOIL (SOMEBODY OR SOMETHING),1
ADD,STING,1
ADDRESS,HOUSE,1
ADDRESS,HUT,1
ADJUDICATE,ADMIT,1
ADJUDICATE,ANSWER,3
ADJUDICATE,BREAK (CLEAVE),1
ADJUDICATE,CAST,1
ADJUDICATE,CATCH,1
ADJUDICATE,CHOOSE,2
ADJUDICATE,CONDEMN,24
ADJUDICATE,CONVICT,6
ADJUDICATE,CUT,2
ADJUDICATE,DAWN,1
ADJUDICATE,DEFEND,1
ADJUDICATE,EGG,1
ADJUDICATE,GOITER,1
ADJUDICATE,GRANDFATHER,1
ADJUDICATE,GRANDMOTHER,1
ADJUDICATE,GUESS,5
ADJUDICATE,HALF,1
ADJUDICATE,JUDGE,3
ADJUDICATE,JUDGMENT,14
ADJUDICATE,KEEP,1
ADJUDICATE,LAY (VERB),1
ADJUDICATE,LEAD (GUIDE),1
ADJUDICATE,LEAVE,1
ADJUDICATE,PLAINTIFF,1
ADJUDICATE,PLANT (SOMETHING),1
ADJUDICATE,POUR,1
ADJUDICATE,PROMISE,1
ADJUDICATE,PUT,1
ADJUDICATE,RULE,1
ADJUDICATE,SAY,2
ADJUDICATE,SEND,1
ADJUDICATE,SEPARATE,2
ADJUDICATE,SPEAK,1
ADJUDICATE,SPIN,1
ADJUDICATE,TELL,1
ADJUDICATE,THINK (BELIEVE),3
ADJUDICATE,THINK (REFLECT),1
ADJUDICATE,TONGUE,1
ADJUDICATE,TRADE OR BARTER,1
ADJUDICATE,TRY,1
ADMIT,ALLOW OR PERMIT,7
ADMIT,ANNOUNCE,4
ADMIT,ANSWER,4
ADMIT,ASK (INQUIRE),1
ADMIT,ASK (REQUEST),1
ADMIT,BE BORN,1
ADMIT,BELIEVE,6
ADMIT,BIG,1
ADMIT,BLAME,1
ADMIT,CALL BY NAME,2
ADMIT,CATCH,1
ADMIT,COMMAND,2
ADMIT,CONVICT,1
ADMIT,COOKED,1
ADMIT,CORRECT (RIGHT),1
ADMIT,DROP (SOMETHING),1
ADMIT,EXPLAIN,2
ADMIT,FEEL,3
ADMIT,FORGIVE,1
ADMIT,GATHER,1
ADMIT,GET,1
ADMIT,GUESS,2
ADMIT,HEAD,1
ADMIT,KNOW (SOMETHING),8
ADMIT,LEARN,2
ADMIT,LET GO OR SET FREE,2
ADMIT,LIBERATE,1
ADMIT,NEXT,1
ADMIT,OBEY,24
ADMIT,OMEN,1
ADMIT,PERMIT,3
ADMIT,PICK UP,1
ADMIT,PREACH,4
ADMIT,PROMISE,6
ADMIT,READ,1
ADMIT,RECOGNIZE (SOMEBODY),1
ADMIT,REGRET,3
ADMIT,SAY,6
ADMIT,SCOLD,2
ADMIT,SEASON,1
ADMIT,SEE,1
ADMIT,SHOOT,1
ADMIT,SMELL (STINK),1
ADMIT,SPEAK,3
ADMIT,SPIT,1
ADMIT,SURRENDER,1
ADMIT,SWEAR,1
ADMIT,TELL,7
ADMIT,THINK (BELIEVE),1
ADMIT,TRUE,1
ADMIT,UNDERSTAND,1
ADMIT,UNRIPE,1
ADMIT,YES,3
ADOBE,BRICK,14
ADOBE,CLAY,5
ADOBE,COUGH,1
ADOBE,COUNTRY,1
ADOBE,EARTH (SOIL),3
ADOBE,GARDEN-HOUSE,14
ADOBE,HOUSE,18
ADOBE,HUT,10
ADOBE,LAND,2
ADOBE,MAINLAND,2
ADOBE,MEETING HOUSE,1
ADOBE,MEN'S HOUSE,11
ADOBE,MORTAR BINDER,1
ADOBE,MORTAR CRUSHER,1
ADOBE,MUD,5
ADOBE,NAVEL,1
ADOBE,ROOM,9
ADULTERY,COOK (SOMETHING),1
ADULTERY,DECEIT,1
ADULTERY,DEEP,1
ADULTERY,DIVORCE,1
ADULTERY,FISH TRAP,1
ADULTERY,FLAX,1
ADULTERY,FRIEND,1
ADULTERY,HAIR,1
ADULTERY,HARD,1
ADULTERY,HAVE SEX,1
ADULTERY,PROSTITUTE,4
ADULTERY,RAPE,2
ADULTERY,STINKING,1
ADULTERY,WALK,1
ADULTERY,YOUNG,1
ADZE,AXE,69
ADZE,BASKET,1
ADZE,BATTLE-AXE,22
ADZE,BEE,1
ADZE,BELLY,1
ADZE,BOARD,1
ADZE,BORE,1
ADZE,CHISEL,7
ADZE,CHOP,1
ADZE,CUP,1
ADZE,DEMON,1
ADZE,DOUGH,2
ADZE,EIGHT,1
ADZE,FLOUR,1
ADZE,GRAPE,1
ADZE,GUILTY,1
ADZE,HOE,3
ADZE,LANGUAGE,1
ADZE,LOUSE,1
ADZE,MOLD,1
ADZE,MORTAR CRUSHER,1
ADZE,OLD,2
ADZE,OX,1
ADZE,PAINT (PIGMENTS),1
ADZE,PALM OF HAND,1
ADZE,PATH,1
ADZE,REST,1
ADZE,ROW,1
ADZE,SCRAPE,1
ADZE,SCULPTOR,1
ADZE,SHARK,1
ADZE,SICK,1
ADZE,SIT,1
ADZE,SLING,1
ADZE,SPADE,1
ADZE,STAB TO DEATH,1
ADZE,TOOTH,1
ADZE,WALKING STICK,1
AFFAIR,BE,1
AFFAIR,BUSINESS,14
AFFAIR,CRAB,1
AFFAIR,DRINK,1
AFFAIR,FAULT,4
AFFAIR,FINE OR THIN,1
AFFAIR,GOOD LUCK,1
AFFAIR,ITEM,4
AFFAIR,JOURNEY,1
AFFAIR,LANGUAGE,1
AFFAIR,MEANING,1
AFFAIR,MESSAGE,1
AFFAIR,MUD,1
AFFAIR,NEED (NOUN),1
AFFAIR,NEWS,1
AFFAIR,NOT,1
AFFAIR,OFTEN,1
AFFAIR,PATH OR ROAD,1
AFFAIR,POCKET,1
AFFAIR,POT,1
AFFAIR,POUCH,1
AFFAIR,REASON,1
AFFAIR,SACK,1
AFFAIR,SAND,1
AFFAIR,SOW SEEDS,1
AFFAIR,TENDON,1
AFFAIR,THING,37
AFFAIR,TIP (OF OBJECT),1
AFFAIR,WORD,35
AFFAIR,WORK (ACTIVITY),1
AFFAIR,WORK (LABOUR),15
AFTER,AFTERWARDS,4
AFTER,AGAIN,4
AFTER,ALL,2
AFTER,ANCHOR,1
AFTER,AND,4
AFTER,AT,2
AFTER,BACK,9
AFTER,BACK (PART),2
AFTER,BACKWARD,3
AFTER,BAD,1
AFTER,BECAUSE,5
AFTER,BECAUSE OF,1
AFTER,BEE,1
AFTER,BEFORE,3
AFTER,BEHIND,87
AFTER,BELOW OR UNDER,3
AFTER,BESIDE,2
AFTER,BUTTOCKS,2
AFTER,CALF OF LEG,1
AFTER,COCA,1
AFTER,DEEP,1
AFTER,END (OF SPACE),2
AFTER,END (OF TIME),1
AFTER,FAST,1
AFTER,FATHOM,1
AFTER,FISHING LINE,1
AFTER,FOLLOW,1
AFTER,FOOTPRINT,1
AFTER,GRANDMOTHER,1
AFTER,HEEL,1
AFTER,HICCOUGH,1
AFTER,HONEY,1
AFTER,IF,2
AFTER,IN FRONT OF,2
AFTER,INSECT,1
AFTER,INSIDE,3
AFTER,IRON,1
AFTER,LAST (FINAL),7
AFTER,LATE,16
AFTER,LOUSE,1
AFTER,MORE,1
AFTER,NAPE (OF NECK),1
AFTER,NEAR,1
AFTER,NEIGHBOUR,1
AFTER,NEXT,2
AFTER,NOW,1
AFTER,OUTSIDE,1
AFTER,POST,1
AFTER,POUR,1
AFTER,RAM,1
AFTER,READY,1
AFTER,SHOUT,1
AFTER,SIX,1
AFTER,SKIRT,1
AFTER,SNEEZE,1
AFTER,SOON,2
AFTER,THEN,3
AFTER,THIRD,1
AFTER,TOMORROW,1
AFTER,TWICE,1
AFTER,UDDER,1
AFTER,UNTIL,1
AFTER,UP,2
AFTER,WET,1
AFTER,WHEN,1
AFTER,WIND,1
AFTER,WOOL,1
AFTER,WORD,1
AFTER,WORM,1
AFTERNOON,AND,1
AFTERNOON,AUTUMN,1
AFTERNOON,BE ALIVE OR LIFE,1
AFTERNOON,BUY,1
AFTERNOON,CLIMB,1
AFTERNOON,COLD,1
AFTERNOON,DAY (24 HOURS),1
AFTERNOON,DAY (NOT NIGHT),9
AFTERNOON,DINNER (SUPPER),2
AFTERNOON,DIVIDE,1
AFTERNOON,DROP (SOMETHING),1
AFTERNOON,EAT,1
AFTERNOON,EVENING,17
AFTERNOON,GIVE,1
AFTERNOON,GO UP (ASCEND),1
AFTERNOON,GRANDCHILD,1
AFTERNOON,GRANDDAUGHTER,1
AFTERNOON,GRANDSON,1
AFTERNOON,LATE,38
AFTERNOON,LOOK,1
AFTERNOON,LUNCH,2
AFTERNOON,MEAL,1
AFTERNOON,MIDDAY,7
AFTERNOON,MISS (A TARGET),1
AFTERNOON,MOON,1
AFTERNOON,MORNING,1
AFTERNOON,NIGHT,3
AFTERNOON,PADDLE,1
AFTERNOON,PIG,2
AFTERNOON,RICE,1
AFTERNOON,SELL,1
AFTERNOON,SUN,2
AFTERNOON,TRADE OR BARTER,1
AFTERNOON,WEIGH,1
AFTERNOON,WEST,2
AFTERNOON,YESTERDAY,2
AFTERWARDS,AGAIN,1
AFTERWARDS,AND,2
AFTERWARDS,AT THAT TIME,1
AFTERWARDS,BACK,1
AFTERWARDS,BAD,1
AFTERWARDS,BEGIN OR START,1
AFTERWARDS,BEHIND,18
AFTERWARDS,BIRD,2
AFTERWARDS,BITTER,1
AFTERWARDS,BREAST,1
AFTERWARDS,BUTTER,1
AFTERWARDS,CREEP,1
AFTERWARDS,DRINK,3
AFTERWARDS,EGG,2
AFTERWARDS,EVIL,1
AFTERWARDS,EXCHANGE,1
AFTERWARDS,FIGHT,2
AFTERWARDS,FIRE,1
AFTERWARDS,FORGET,1
AFTERWARDS,GRUEL,1
AFTERWARDS,ISLAND,1
AFTERWARDS,LARVA,1
AFTERWARDS,MOUTH,1
AFTERWARDS,NEW,1
AFTERWARDS,NOSE,1
AFTERWARDS,NOT,1
AFTERWARDS,OIL (ORGANIC SUBSTANCE),1
AFTERWARDS,SALIVA,2
AFTERWARDS,SLOW,2
AFTERWARDS,SOON,1
AFTERWARDS,SOUR,1
AFTERWARDS,THAT,1
AFTERWARDS,THEN,48
AFTERWARDS,VOICE,1
AFTERWARDS,YOU TWO,2
AGAIN,ALREADY,1
AGAIN,AND,17
AGAIN,ANNOUNCE,1
AGAIN,ARMY,1
AGAIN,ARRIVE,1
AGAIN,ASK (INQUIRE),2
AGAIN,ASK (REQUEST),1
AGAIN,AT,1
AGAIN,BACK,1
AGAIN,BACK (DIRECTION),3
AGAIN,BACKWARD,1
AGAIN,BAMBOO,2
AGAIN,BARLEY,1
AGAIN,BE ALIVE OR LIFE,1
AGAIN,BEAR FRUIT,1
AGAIN,BEFORE,2
AGAIN,BEHIND,1
AGAIN,BLOOD,1
AGAIN,BLUNT,2
AGAIN,BOTTOM,1
AGAIN,BRAIN,1
AGAIN,BREAK (CLEAVE),2
AGAIN,BRICK,1
AGAIN,CARRY IN HAND,1
AGAIN,CATTY (MASS UNIT),1
AGAIN,COARSE,1
AGAIN,COME BACK,4
AGAIN,CONCEIVE,1
AGAIN,CONNECT,1
AGAIN,CROOKED,1
